issue_date,issue_time_utc,target_time_utc,target_time_local,horizon_h,lead_day,p_t1,p_t2,p_farm,p_farm_q10,p_farm_q90,ifs_run_time,model_version
2026-02-08,2026-02-08 13:00:00,2026-02-08 18:00:00,2026-02-09 00:00:00,10,1,0.9934,0.9761,0.9885,0.9178,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-08 19:00:00,2026-02-09 01:00:00,11,1,0.9932,0.9724,0.9844,0.926,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-08 20:00:00,2026-02-09 02:00:00,12,1,0.9934,0.9716,0.9813,0.9167,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-08 21:00:00,2026-02-09 03:00:00,13,1,0.9919,0.9623,0.9754,0.868,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-08 22:00:00,2026-02-09 04:00:00,14,1,0.992,0.9634,0.9741,0.8606,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-08 23:00:00,2026-02-09 05:00:00,15,1,0.9796,0.9614,0.9665,0.8074,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 00:00:00,2026-02-09 06:00:00,16,1,0.9495,0.9418,0.9267,0.7947,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 01:00:00,2026-02-09 07:00:00,17,1,0.9081,0.9116,0.8992,0.7712,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 02:00:00,2026-02-09 08:00:00,18,1,0.8888,0.8802,0.8873,0.7634,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 03:00:00,2026-02-09 09:00:00,19,1,0.88,0.8687,0.8717,0.7333,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 04:00:00,2026-02-09 10:00:00,20,1,0.9232,0.8943,0.8992,0.7302,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 05:00:00,2026-02-09 11:00:00,21,1,0.9122,0.875,0.8879,0.7422,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 06:00:00,2026-02-09 12:00:00,22,1,0.9306,0.8937,0.9188,0.7373,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 07:00:00,2026-02-09 13:00:00,23,1,0.9468,0.9113,0.9332,0.7445,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 08:00:00,2026-02-09 14:00:00,24,1,0.922,0.8959,0.9109,0.7721,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 09:00:00,2026-02-09 15:00:00,25,1,0.9214,0.9173,0.9194,0.765,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 10:00:00,2026-02-09 16:00:00,26,1,0.8649,0.872,0.877,0.7484,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 11:00:00,2026-02-09 17:00:00,27,1,0.8182,0.807,0.8245,0.7078,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 12:00:00,2026-02-09 18:00:00,28,1,0.617,0.6379,0.6744,0.5377,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 13:00:00,2026-02-09 19:00:00,29,1,0.4998,0.5303,0.5148,0.2455,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 14:00:00,2026-02-09 20:00:00,30,1,0.4217,0.4386,0.4068,0.1231,0.9577,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 15:00:00,2026-02-09 21:00:00,31,1,0.2489,0.2639,0.2455,0.0,0.7839,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 16:00:00,2026-02-09 22:00:00,32,1,0.1464,0.1556,0.1293,0.0,0.5811,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 17:00:00,2026-02-09 23:00:00,33,1,0.1195,0.1278,0.1316,0.0,0.3583,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 18:00:00,2026-02-10 00:00:00,34,2,0.1024,0.1273,0.1273,0.0,0.3756,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 19:00:00,2026-02-10 01:00:00,35,2,0.1387,0.1471,0.141,0.0,0.5674,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 20:00:00,2026-02-10 02:00:00,36,2,0.1577,0.1568,0.1422,0.0,0.6324,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 21:00:00,2026-02-10 03:00:00,37,2,0.1743,0.1338,0.1541,0.0,0.5882,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 22:00:00,2026-02-10 04:00:00,38,2,0.1769,0.126,0.1543,0.0,0.6636,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-09 23:00:00,2026-02-10 05:00:00,39,2,0.173,0.1323,0.1373,0.0,0.6642,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 00:00:00,2026-02-10 06:00:00,40,2,0.1331,0.1358,0.1131,0.0,0.4337,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 01:00:00,2026-02-10 07:00:00,41,2,0.2974,0.2819,0.3011,0.0485,0.844,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 02:00:00,2026-02-10 08:00:00,42,2,0.2305,0.1965,0.207,0.0043,0.8308,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 03:00:00,2026-02-10 09:00:00,43,2,0.1721,0.1525,0.1931,0.0,0.7591,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 04:00:00,2026-02-10 10:00:00,44,2,0.2508,0.2556,0.2456,0.0,0.8113,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 05:00:00,2026-02-10 11:00:00,45,2,0.2168,0.2276,0.2133,0.0,0.7005,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 06:00:00,2026-02-10 12:00:00,46,2,0.1751,0.1961,0.1972,0.0,0.6813,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 07:00:00,2026-02-10 13:00:00,47,2,0.3098,0.3295,0.3314,0.0295,0.8474,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 08:00:00,2026-02-10 14:00:00,48,2,0.3584,0.3754,0.38,0.0387,0.7738,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 09:00:00,2026-02-10 15:00:00,49,2,0.2702,0.2845,0.2825,0.022,0.7713,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 10:00:00,2026-02-10 16:00:00,50,2,0.2506,0.2746,0.262,0.0174,0.8176,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 11:00:00,2026-02-10 17:00:00,51,2,0.2543,0.2603,0.2957,0.0161,0.8187,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 12:00:00,2026-02-10 18:00:00,52,2,0.2483,0.2616,0.2351,0.0037,0.8045,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 13:00:00,2026-02-10 19:00:00,53,2,0.2638,0.2839,0.278,0.0125,0.9114,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 14:00:00,2026-02-10 20:00:00,54,2,0.4063,0.4558,0.3954,0.0661,0.99,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 15:00:00,2026-02-10 21:00:00,55,2,0.6008,0.62,0.6169,0.1711,0.98,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 16:00:00,2026-02-10 22:00:00,56,2,0.6484,0.6517,0.6308,0.1447,0.9437,2026-02-08 06:00:00,ensemble-v1-20260131
2026-02-08,2026-02-08 13:00:00,2026-02-10 17:00:00,2026-02-10 23:00:00,57,2,0.7017,0.7004,0.6595,0.2885,0.9292,2026-02-08 06:00:00,ensemble-v1-20260131
